1540 - main - ERROR - --(95, 26), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 745
3506 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 2700
3516 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 2126
3585 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 1001
3610 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 866
3677 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 1105
3710 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 1175
3761 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 992
3799 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 1128
3934 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 3509
3965 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 1
3996 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 4203
4021 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 1
4043 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 538
4131 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 760
4230 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 3170
4250 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 3172
4388 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 5191
4475 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 5380
4503 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 1130
4573 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1060
4603 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 2126
4681 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 2700
4684 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 760
4750 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 538
4768 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1
4804 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1
4859 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 777
4932 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1065
5011 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 2447
5053 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 3246
5139 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 2348
5192 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 866
5211 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 2908
5278 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 1001
5369 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 3172
5412 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 3170
5431 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 1065
5488 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 777
5500 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 1
5550 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 1
5596 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 510
5673 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 726
5811 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (93, 71), Boat_Direction.RIGHT, 3804
5863 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 4291
5873 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (93, 147), Boat_Direction.RIGHT, 1175
5923 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 1105
6114 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 5191
6121 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 51), Boat_Direction.RIGHT, 5380
6237 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 2447
6289 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 91), Boat_Direction.RIGHT, 3246
6338 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 510
6351 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 130), Boat_Direction.RIGHT, 726
6396 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 1
6402 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (102, 168), Boat_Direction.RIGHT, 1
6635 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (2, 195), Boat_Direction.DOWN, 4057
6686 - main - ERROR - --(2, 195), Boat_Direction.DOWN, (93, 71), Boat_Direction.RIGHT, 7907
6784 - main - ERROR - --(2, 195), Boat_Direction.DOWN, (93, 147), Boat_Direction.RIGHT, 4165
6800 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (2, 195), Boat_Direction.DOWN, 1686
7039 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (2, 195), Boat_Direction.DOWN, 6205
7129 - main - ERROR - --(2, 195), Boat_Direction.DOWN, (102, 51), Boat_Direction.RIGHT, 10139
7318 - main - ERROR - --(2, 195), Boat_Direction.DOWN, (102, 91), Boat_Direction.RIGHT, 8592
7322 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (2, 195), Boat_Direction.DOWN, 5190
7495 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (2, 195), Boat_Direction.DOWN, 3340
7547 - main - ERROR - --(2, 195), Boat_Direction.DOWN, (102, 130), Boat_Direction.RIGHT, 6488
7652 - main - ERROR - --(2, 195), Boat_Direction.DOWN, (102, 168), Boat_Direction.RIGHT, 3453
7671 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (2, 195), Boat_Direction.DOWN, 2387
7979 - main - ERROR - --(197, 195), Boat_Direction.DOWN, (93, 71), Boat_Direction.RIGHT, 8618
7979 - main - ERROR - --(93, 71), Boat_Direction.RIGHT, (197, 195), Boat_Direction.DOWN, 7794
8175 - main - ERROR - --(93, 147), Boat_Direction.RIGHT, (197, 195), Boat_Direction.DOWN, 4040
8187 - main - ERROR - --(197, 195), Boat_Direction.DOWN, (93, 147), Boat_Direction.RIGHT, 5491
8491 - main - ERROR - --(102, 51), Boat_Direction.RIGHT, (197, 195), Boat_Direction.DOWN, 8850
8496 - main - ERROR - --(197, 195), Boat_Direction.DOWN, (102, 51), Boat_Direction.RIGHT, 9884
8720 - main - ERROR - --(102, 91), Boat_Direction.RIGHT, (197, 195), Boat_Direction.DOWN, 5505
8766 - main - ERROR - --(197, 195), Boat_Direction.DOWN, (102, 91), Boat_Direction.RIGHT, 7756
8913 - main - ERROR - --(102, 130), Boat_Direction.RIGHT, (197, 195), Boat_Direction.DOWN, 3039
8929 - main - ERROR - --(197, 195), Boat_Direction.DOWN, (102, 130), Boat_Direction.RIGHT, 5173
9070 - main - ERROR - --(197, 195), Boat_Direction.DOWN, (102, 168), Boat_Direction.RIGHT, 3340
9084 - main - ERROR - --(102, 168), Boat_Direction.RIGHT, (197, 195), Boat_Direction.DOWN, 1948
